n,lowest2015,highest2015,lowest2019,highest2019,lowestdiff,highestdiff,decile1prop2015,decile1prop2019,decile10prop2015,decile10prop2019,decile1propdiff,decile10propdiff,mean2019,median2019,mean2015,median2015,meandiff,mediandiff
South Derbyshire,4756,32390,4492,32100,-264,-290,-999999,-999999,15.5172,13.7931,0,-1.7241,20787.912549407116,22175,21388.734980893314,23353,-600.8224314861982,-1178
Harrogate,2283,32817,2060,32843,-223,26,0.9615,0.9615,27.8846,28.8462,0,0.9615,23926.32634007854,23448,24251.53738730219,23984,-325.2110472236491,-536
Southampton,287,29407,388,29743,101,336,12.8378,12.8378,-999999,0.6757,0,0.6757,12058.298544222,10784,12118.056756102043,11248,-59.758211880043746,-464
Trafford,679,32769,490,32534,-189,-235,2.8986,5.0725,21.7391,22.4638,2.173913043478261,0.7246,20432.845644382443,22793,20854.055763220786,23972,-421.21011883834217,-1179
Bolton,201,31647,65,31328,-136,-319,20.339,23.7288,7.3446,4.5198,3.3898305084745743,-2.8249,11709.575166413557,8023,12816.828947179767,9727,-1107.2537807662102,-1704
Basingstoke and Deane,7026,32649,6117,32813,-909,164,-999999,-999999,30.2752,24.7706,0,-5.5046,22317.44904783756,23945,23424.83971095418,25669,-1107.390663116621,-1724
Milton Keynes,752,32657,628,32338,-124,-319,5.9211,5.2632,7.8947,6.5789,-0.6578947368421053,-1.3158,18493.99354330589,20228,18589.562231129454,20793,-95.56868782356469,-565
Wyre,239,30513,96,29330,-143,-1183,13.0435,14.4928,1.4493,-999999,1.4492753623188417,-1.4493,17235.750360579117,18623,17903.358433204496,19244,-667.6080726253786,-621
Scarborough,313,31876,243,30526,-70,-1350,12.6761,12.6761,1.4085,1.4085,0,0,13089.349286236342,12826,13803.745065910598,13490,-714.3957796742561,-664
Leeds,22,32653,38,32664,16,11,21.7842,23.6515,8.5062,6.8465,1.867219917012445,-1.6598,13935.756498936978,14276,14382.561704918726,14412,-446.80520598174735,-136
East Staffordshire,2486,31867,2660,32107,174,240,1.3889,4.1667,9.7222,13.8889,2.7777777777777772,4.1667,17556.705058811283,18253,17778.72007153933,18899,-222.0150127280467,-646
Tandridge,12105,32577,10469,31736,-1636,-841,-999999,-999999,14,14,0,0,22817.36853132202,24853,23845.285113450347,24143,-1027.9165821283277,710
West Somerset,7162,17899,6884,18357,-278,458,-999999,-999999,-999999,-999999,0,0,11715.106900747436,11690,12213.242454932146,12887,-498.1355541847097,-1197
Colchester,1912,32371,1927,32817,15,446,3.8095,0.9524,8.5714,7.619,-2.857142857142857,-0.9524,18888.965405914038,19398,18812.441604927048,19378,76.52380098698995,20
Stratford on Avon,11322,32750,9586,32825,-1736,75,-999999,-999999,10.9589,10.9589,0,0,22833.247790718568,23072,22898.38738409992,23515,-65.139593381351,-443
Wolverhampton,206,29844,340,29582,134,-262,25.9494,20.8861,0.6329,0.6329,-5.063291139240505,0,9570.049218756125,6045,9551.540012750527,5967,18.50920600559766,78
Kingston upon Hull  City of,12,26752,21,28611,9,1859,45.1807,45.1807,-999999,-999999,0,0,7622.248920701602,4586,7534.742841338906,5086,87.50607936269625,-500
Copeland,238,29983,451,31326,213,1343,12.2449,6.1224,2.0408,4.0816,-6.122448979591836,2.0408,13294.204197341587,12070,12811.840496602345,11846,482.36370073924263,224
Lewisham,1483,27504,2371,26075,888,-1429,4.7337,2.9586,-999999,-999999,-1.775147928994083,0,10885.754446625242,9904,10149.914066828624,9489,735.8403797966184,415
Peterborough,1070,29749,803,29474,-267,-275,16.0714,14.2857,0.8929,-999999,-1.7857142857142883,-0.8929,11986.088163481129,10133,12324.030458109337,10353,-337.9422946282084,-220
Waveney,10,31465,25,30714,15,-751,12.3288,13.6986,4.1096,2.7397,1.3698630136986303,-1.3699,13509.112320455246,13090,13956.206442878467,13392,-447.09412242322105,-302
Broxtowe,3852,32246,3595,32653,-257,407,-999999,-999999,16.9014,15.493,0,-1.4085,21145.280175612723,21871,20795.228801618556,21008,350.0513739941671,863
Enfield,1321,30341,1643,29825,322,-516,10.929,5.4645,2.1858,0.5464,-5.46448087431694,-1.6393,12426.353962730198,9903,12073.60976970377,9821,352.74419302642855,82
Mid Devon,7267,31757,7072,32229,-195,472,-999999,-999999,4.6512,2.3256,0,-2.3256,17807.26157925159,16404,17548.370370843175,17595,258.89120840841497,-1191
Harborough,8605,32776,9690,32774,1085,-2,-999999,-999999,34.0426,38.2979,0,4.2553,26892.558095367294,26322,26353.06597894835,26425,539.4921164189436,-103
South Oxfordshire,9210,32740,12149,32806,2939,66,-999999,-999999,41.573,40.4494,0,-1.1236,26435.084051911854,28203,26157.922459972182,27922,277.1615919396718,281
North Dorset,12597,31549,11083,30654,-1514,-895,-999999,-999999,2.7027,2.7027,0,0,19491.48024862075,17578,20210.902124386917,19213,-719.4218757661656,-1635
East Riding of Yorkshire,85,32762,44,32721,-41,-41,6.1905,6.1905,20.4762,20,0,-0.4762,20749.916923837667,22100,20475.783535674596,21309,274.1333881630708,791
Rother,1064,29766,754,28840,-310,-926,1.7241,3.4483,1.7241,-999999,1.7241379310344827,-1.7241,16278.76492617392,15572,17072.240470753557,17181,-793.4755445796363,-1609
South Cambridgeshire,13457,32785,8852,32840,-4605,55,-999999,-999999,39.5833,34.375,0,-5.2083,26324.970288954482,27110,26527.112571821963,26876,-202.1422828674804,234
Crawley,4214,31897,3234,31711,-980,-186,-999999,1.5152,4.5455,4.5455,1.5151515151515151,0,16365.265423358915,13874,17231.201085852525,15699,-865.9356624936099,-1825
Bristol  City of,65,32150,91,31994,26,-156,15.9696,15.5894,4.1825,6.0837,-0.3802281368821294,1.9011,13423.28815910988,11704,13085.208537505148,11110,338.0796216047311,594
West Berkshire,4476,32620,5633,32815,1157,195,-999999,-999999,23.7113,25.7732,0,2.0619,24870.65913882891,25606,24396.73670106029,25355,473.9224377686187,251
Surrey Heath,8214,32824,10201,32787,1987,-37,-999999,-999999,52.7273,47.2727,0,-5.4545,26985.711447654376,29041,27147.046738953773,29669,-161.3352912993978,-628
Corby,362,30451,440,28752,78,-1699,9.7561,9.7561,2.439,-999999,0,-2.439,12961.959603510399,9831,12981.61119655003,11958,-19.651593039630825,-2127
Elmbridge,8596,32576,8212,32727,-384,151,-999999,-999999,51.8519,50.6173,0,-1.2346,27210.109484630495,29646,27410.021344059856,29596,-199.91185942936136,50
Broxbourne,4399,31703,4306,31434,-93,-269,-999999,-999999,5.3571,1.7857,0,-3.5714,17430.913478211212,17802,18051.96236917574,17892,-621.0488909645283,-90
Slough,4090,27121,3863,23960,-227,-3161,-999999,-999999,-999999,-999999,0,0,13056.741902792424,11955,13160.63848193009,12525,-103.89657913766496,-570
Westminster,641,26187,1850,31583,1209,5396,14.0625,2.3438,-999999,3.125,-11.71875,3.125,16271.178380739939,15991,11540.566390300994,11612,4730.611990438945,4379
Tameside,299,31954,237,31662,-62,-292,17.0213,20.5674,1.4184,0.7092,3.546099290780141,-0.7092,10070.69622630436,8012,11159.612342842613,9152,-1088.916116538252,-1140
South Northamptonshire,14788,32767,15075,32751,287,-16,-999999,-999999,29.4118,41.1765,0,11.7647,27326.577716427626,27936,26850.50337000579,27882,476.0743464218358,54
Cotswold,10087,32294,11419,32483,1332,189,-999999,-999999,15.6863,15.6863,0,0,23496.106875672136,23045,23101.335559225485,22545,394.7713164466513,500
Melton,7542,31872,8876,32143,1334,271,-999999,-999999,23.3333,20,0,-3.3333,22406.96188868828,23423,21615.26253693126,21871,791.6993517570227,1552
Tonbridge and Malling,5523,32275,4333,32715,-1190,440,-999999,-999999,27.7778,22.2222,0,-5.5556,21839.394143696485,21962,23470.697806614608,24592,-1631.3036629181224,-2630
Wyre Forest,175,30942,148,31501,-27,559,7.6923,6.1538,1.5385,3.0769,-1.5384615384615383,1.5385,15357.932579644374,15183,15530.025470563045,14852,-172.0928909186714,331
South Hams,8003,32540,9296,32466,1293,-74,-999999,-999999,10.2041,10.2041,0,0,20787.927125792237,19328,20207.181190712585,18887,580.7459350796526,441
Sefton,112,32139,54,31393,-58,-746,20.1058,20.1058,5.291,3.7037,0,-1.5873,13858.298567312222,14028,14441.061440538464,15411,-582.7628732262419,-1383
Coventry,8,32260,94,32380,86,120,18.4615,14.359,2.5641,4.6154,-4.102564102564106,2.0513,13412.924464401896,12453,12546.552387259695,11382,866.3720771422013,1071
South Norfolk,9184,32225,10067,31977,883,-248,-999999,-999999,7.4074,9.8765,0,2.4691,21273.9618670874,21597,21314.715680515645,21921,-40.75381342824403,-324
Broadland,11955,32272,11986,32406,31,134,-999999,-999999,16.6667,13.0952,0,-3.5714,22805.10458357683,23473,23313.220372958513,24108,-508.1157893816817,-635
Welwyn Hatfield,7440,32758,6540,32657,-900,-101,-999999,-999999,17.9104,17.9104,0,0,20641.870627589487,19963,21598.56234046731,20301,-956.6917128778223,-338
Merton,4546,32296,4161,31737,-385,-559,-999999,-999999,12.9032,17.7419,0,4.8387,20620.3734226689,21283,20247.93604648288,20541,372.43737618602245,742
Hinckley and Bosworth,5642,32138,4583,32327,-1059,189,-999999,-999999,19.697,15.1515,0,-4.5455,21602.91255306023,23086,22034.829988872752,23161,-431.91743581252376,-75
Bury,156,32688,50,32455,-106,-233,10,10,7.5,7.5,0,0,15032.563342705604,14392,16108.012089216376,16197,-1075.4487465107723,-1805
Reigate and Banstead,6373,32559,4800,32447,-1573,-112,-999999,-999999,32.5581,25.5814,0,-6.9767,23779.798347615357,25559,24409.068741324627,26127,-629.2703937092701,-568
Suffolk Coastal,4064,32610,3303,32587,-761,-23,-999999,-999999,19.1781,17.8082,0,-1.3699,21329.87699228078,20759,21666.470970554754,21479,-336.59397827397333,-720
Fenland,2011,23884,1758,24935,-253,1051,7.2727,7.2727,-999999,-999999,0,0,11951.13371490149,10930,12129.27552355336,11627,-178.14180865186972,-697
Cheltenham,2101,32768,2178,32823,77,55,4,2.6667,26.6667,28,-1.333333333333333,1.3333,21844.117958350485,25247,21187.76812543074,24972,656.3498329197464,275
Dartford,1951,31725,2133,30861,182,-864,5.1724,1.7241,12.069,6.8966,-3.4482758620689657,-5.1724,17035.812790371965,16136,18011.16184556297,18491,-975.3490551910036,-2355
Brighton and Hove,331,31646,294,31899,-37,253,10.303,9.0909,3.0303,6.0606,-1.212121212121211,3.0303,16635.962544838825,17597,14687.016365561607,14013,1948.946179277218,3584
Christchurch,5886,30611,4649,31363,-1237,752,-999999,-999999,13.3333,23.3333,0,10,22780.33777001077,24468,22417.882843270054,22389,362.4549267407165,2079
Fylde,2259,31769,2042,31904,-217,135,1.9608,3.9216,13.7255,9.8039,1.9607843137254901,-3.9216,19765.508412430114,20378,20795.062039149117,21120,-1029.5536267190037,-742
Spelthorne,7683,32156,6666,30917,-1017,-1239,-999999,-999999,10,6.6667,0,-3.3333,19948.68190245294,19998,21439.88647455625,21611,-1491.20457210331,-1613
Bedford,900,31845,1387,31617,487,-228,4.8544,3.8835,10.6796,8.7379,-0.970873786407767,-1.9417,17553.952039754302,18256,17476.32836130492,19129,77.62367844938126,-873
Warwick,2841,32714,3287,32605,446,-109,1.1628,-999999,26.7442,19.7674,-1.1627906976744187,-6.9767,22984.176373179354,24456,23145.882162435082,24094,-161.70578925572772,362
Bexley,3946,32286,3591,32132,-355,-154,-999999,-999999,9.589,8.9041,0,-0.6849,19315.288526199838,20054,19339.780203268863,20629,-24.491677069025172,-575
Sheffield,53,32816,107,32747,54,-69,23.4783,23.7681,10.1449,9.8551,0.28985507246376585,-0.2899,14102.280756249813,13758,13901.194100275932,12949,201.08665597388062,809
Eastleigh,6260,32822,6197,32814,-63,-8,-999999,-999999,37.6623,33.7662,0,-3.8961,24822.441101901888,26616,24795.39992426872,27273,27.041177633167536,-657
St Albans,11737,32832,9268,32822,-2469,-10,-999999,-999999,48.2759,43.6782,0,-4.5977,26597.247441650477,28912,27017.14795030268,29152,-419.9005086522011,-240
Rugby,5627,32135,5718,31987,91,-148,-999999,-999999,19.6721,16.3934,0,-3.2787,21043.674500981284,21511,21802.36504848587,22106,-758.690547504586,-595
South Gloucestershire,4411,32732,4858,32711,447,-21,-999999,-999999,30.303,30.9091,0,0.6061,23249.36665201143,24052,23340.237323715413,24598,-90.87067170398223,-546
North Somerset,120,32815,156,32773,36,-42,6.6667,5.9259,15.5556,18.5185,-0.7407407407407405,2.963,21033.434588765416,22806,20993.63458668689,23493,39.80000207852572,-687
Erewash,249,32035,227,32049,-22,14,5.4795,5.4795,8.2192,15.0685,0,6.8493,18151.40056154302,19362,17153.60116657359,18383,997.7993949694319,979
Manchester,32,27859,49,26894,17,-965,40.7801,43.2624,-999999,-999999,2.4822695035461066,0,6427.246171228192,4338,6478.18431209583,4532,-50.93814086763814,-194
Redbridge,3189,31592,4305,31809,1116,217,0.6211,-999999,3.1056,3.7267,-0.6211180124223602,0.6211,17762.383001933355,17540,15349.498171226596,14746,2412.8848307067583,2794
Leicester,161,29385,172,30561,11,1176,23.9583,20.3125,-999999,0.5208,-3.6458333333333357,0.5208,9987.043565997412,8891,9074.742469125375,7596,912.3010968720373,1295
Sevenoaks,3820,32431,4465,32731,645,300,-999999,-999999,24.3243,25.6757,0,1.3514,22519.595963271695,23310,23252.897414089348,24067,-733.301450817653,-757
Brent,1159,26424,1192,25260,33,-1164,8.0925,5.7803,-999999,-999999,-2.3121387283237,0,11761.983746749815,11819,11325.0691730757,11638,436.91457367411385,181
Isles of Scilly,21789,21789,22165,22165,376,376,-999999,-999999,-999999,-999999,0,0,22165,22165,21789,21789,376,376
Breckland,2208,27112,2938,27789,730,677,1.2821,1.2821,-999999,-999999,0,0,16010.976251418906,16045,15774.246823166448,16484,236.7294282524581,-439
Rushmoor,4452,32721,3693,32837,-759,116,-999999,-999999,17.2414,13.7931,0,-3.4483,19615.149076350797,20187,19965.257541899442,20226,-350.10846554864474,-39
Rushcliffe,10429,32840,10126,32826,-303,-14,-999999,-999999,50,50,0,0,27755.262399746727,29376,26972.679226896216,28517,782.5831728505109,859
Carlisle,780,31367,1110,32375,330,1008,7.3529,5.8824,5.8824,7.3529,-1.4705882352941186,1.4706,15382.003598220315,13776,15102.760319401215,13957,279.24327881909994,-181
Redditch,1024,30806,1286,30874,262,68,7.2727,9.0909,10.9091,5.4545,1.8181818181818192,-5.4545,15501.702726919042,14814,16415.066430542887,16775,-913.3637036238451,-1961
Three Rivers,3268,32838,4265,32835,997,-3,1.8868,-999999,41.5094,41.5094,-1.8867924528301887,0,25102.802564353955,27480,24935.088523777886,26915,167.71404057606924,565
Cherwell,4701,32715,3328,32250,-1373,-465,-999999,-999999,16.129,9.6774,0,-6.4516,20965.427396314954,21714,22349.291351769756,22427,-1383.8639554548026,-713
Dover,1358,31168,994,31698,-364,530,5.9701,7.4627,1.4925,1.4925,1.4925373134328357,0,14929.654787299685,14833,15223.627477296113,15345,-293.972689996428,-512
Northumberland,605,32356,133,32495,-472,139,7.1066,11.6751,10.6599,9.6447,4.568527918781726,-1.0152,16066.728827322817,15887,16814.006032167326,16205,-747.2772048445095,-318
Wellingborough,1379,31261,1736,30757,357,-504,8.5106,6.383,6.383,6.383,-2.127659574468085,0,15787.927302874465,14050,16118.973936972456,18426,-331.04663409799105,-4376
Sandwell,311,26601,146,24740,-165,-1861,22.5806,19.8925,-999999,-999999,-2.688172043010752,0,7568.509233753576,5888,7933.841261275153,6167,-365.3320275215765,-279
Gravesham,1876,31315,2278,30869,402,-446,9.375,3.125,3.125,3.125,-6.25,0,15551.226344416591,14937,15582.406932388774,15405,-31.180587972183275,-468
Swindon,1049,32538,701,32290,-348,-248,6.0606,9.0909,6.8182,9.0909,3.030303030303031,2.2727,18462.467488418268,20619,18933.83347645965,22369,-471.3659880413834,-1750
Knowsley,69,23824,56,23844,-13,20,45.9184,46.9388,-999999,-999999,1.0204081632653015,0,6645.254464831389,4117,7245.632482732157,4674,-600.3780179007681,-557
Croydon,1145,31178,1096,31701,-49,523,2.7273,2.2727,3.1818,3.1818,-0.45454545454545414,0,14473.77182361144,13421,13836.55598206492,12480,637.2158415465201,941
Wiltshire,1942,32751,2484,32418,542,-333,0.3509,0.3509,11.2281,11.9298,0,0.7018,21579.472512115408,22452,21431.341461776166,22300,148.13105033924148,152
Mole Valley,8467,32833,6862,32796,-1605,-37,-999999,-999999,40.7407,35.1852,0,-5.5556,25397.07724941939,27754,25747.34933485544,26902,-350.27208543604866,852
North Hertfordshire,5822,32798,5132,32824,-690,26,-999999,-999999,29.2683,26.8293,0,-2.439,23414.246529545402,24835,23169.135593484287,23488,245.11093606111535,1347
Newcastle under Lyme,562,32713,1747,32345,1185,-368,3.75,2.5,7.5,5,-1.25,-2.5,17318.900081189946,18409,17756.3272106488,18543,-437.4271294588543,-134
Chichester,8914,32720,8013,32698,-901,-22,-999999,-999999,8.4507,9.8592,0,1.4085,20526.00675813353,20239,21402.974292924442,21061,-876.9675347909106,-822
Great Yarmouth,20,27526,39,26682,19,-844,26.2295,24.5902,-999999,-999999,-1.639344262295083,0,10077.870668762358,8919,10636.88093676335,10289,-559.0102680009913,-1370
Ashford,3285,30064,2474,29803,-811,-261,-999999,1.2821,1.2821,1.2821,1.282051282051282,0,17360.37310051835,17929,18161.938168104167,18618,-801.565067585816,-689
Charnwood,432,32667,699,32480,267,-187,2.0202,2.0202,17.1717,19.1919,0,2.0202,22136.218077605943,23369,21636.70323914705,23032,499.5148384588938,337
Southwark,1788,29827,2115,29878,327,51,4.8193,3.012,0.6024,0.6024,-1.8072289156626509,0,11597.643625540635,9783,9862.301144687084,7745,1735.342480853551,2038
Castle Point,1415,30188,1311,30844,-104,656,1.7544,1.7544,3.5088,5.2632,0,1.7544,18939.152045209903,19884,18926.42577478519,21082,12.726270424711402,-1198
Shepway,572,31159,614,29851,42,-1308,5.9701,5.9701,1.4925,1.4925,0,0,13507.546113366958,13117,14491.660791168353,15101,-984.1146778013954,-1984
Taunton Deane,1353,31450,1344,31033,-9,-417,4.4776,4.4776,10.4478,7.4627,0,-2.9851,18286.96379583512,17700,19096.578917123104,18991,-809.615121287985,-1291
Islington,614,23836,2164,23623,1550,-213,14.6341,4.878,-999999,-999999,-9.756097560975608,0,10354.76484104862,9255,8157.6249554112865,7294,2197.1398856373335,1961
Vale of White Horse,5936,32749,5998,32756,62,7,-999999,-999999,34.2105,36.8421,0,2.6316,26591.679335198445,27314,26214.49710012707,27621,377.1822350713737,-307
Arun,2402,31006,1861,30415,-541,-591,4.2553,4.2553,6.383,3.1915,0,-3.1915,17287.94469019426,18101,18196.435904743597,19016,-908.4912145493363,-915
