height,weight,male,earn,earnk,education,walk,exercise,angry,age,earnsabove16k,angry_or_not
63,145,0,10000,10,12,3,1,1,31,0,1
65,126,0,1000,1,12,6,6,0,18,0,0
64,136,0,12000,12,15,7,6,0,71,0,0
65,140,0,16000,16,12,7,1,1,36,0,1
63,125,0,15000,15,13,7,1,2,27,0,1
68,240,0,0,0,16,8,1,5,41,0,1
63,140,0,25000,25,16,4,2,0,33,1,0
70,135,0,25000,25,12,5,7,2,27,1,1
68,180,1,32000,32,12,5,6,5,30,1,1
67,165,1,35000,35,14,1,5,0,43,1,0
68,130,1,25000,25,12,8,2,7,24,1,1
66,135,0,25000,25,12,3,1,2,23,1,1
65,125,0,6000,6,12,8,1,1,28,0,1
69,165,1,80000,80,14,4,3,0,44,1,0
68,145,0,20000,20,14,7,1,0,25,1,0
66,187,0,1000,1,17,2,1,0,38,0,0
71,165,1,28000,28,13,1,5,0,38,1,0
64,125,1,26000,26,16,7,7,0,23,1,0
74,210,1,27000,27,12,7,6,2,24,1,1
62,112,0,18000,18,13,5,3,2,41,1,1
65,200,0,2000,2,12,8,1,0,59,0,0
69,195,1,20000,20,12,4,5,0,66,1,0
72,185,1,15000,15,12,8,2,2,19,0,1
66,221,0,6000,6,16,4,1,1,48,0,1
70,180,1,15000,15,11,8,4,0,32,0,0
61,170,0,15000,15,12,1,3,0,74,0,0
60,110,0,0,0,10,1,1,0,68,0,0
70,190,1,5000,5,12,2,4,2,19,0,1
73,130,0,5000,5,11,8,7,0,21,0,0
66,160,0,15000,15,12,7,1,1,74,0,1
57,130,0,45000,45,12,2,1,0,36,1,0
67,210,1,25000,25,11,8,7,0,63,1,0
73,180,1,12000,12,12,8,3,0,29,0,0
65,115,0,0,0,18,4,5,3,26,0,1
62,120,0,15000,15,12,6,1,0,45,0,0
76,165,1,12000,12,12,8,1,0,57,0,0
70,175,1,30000,30,14,8,5,0,76,1,0
64,160,0,0,0,12,6,6,2,30,0,1
63,130,0,4000,4,15,4,4,4,22,0,1
67,185,0,5000,5,11,8,1,2,18,0,1
63,115,0,26000,26,13,7,7,0,37,1,0
69,190,0,5000,5,9,8,4,0,53,0,0
67,200,0,15000,15,9,1,1,7,23,0,1
66,180,0,15000,15,12,4,4,7,30,0,1
61,140,0,5000,5,12,7,7,1,25,0,1
70,164,1,23000,23,12,8,7,4,35,1,1
71,175,1,21000,21,12,8,1,7,33,1,1
65,135,0,25000,25,12,5,1,3,62,1,1
70,157,1,18000,18,16,4,1,1,75,1,1
63,150,0,4000,4,13,4,6,0,44,0,0
64,116,0,23900,23.9,12,8,7,2,22,1,1
68,145,1,35000,35,12,8,5,0,68,1,0
64,123,0,35000,35,18,3,6,1,40,1,1
67,140,1,26000,26,14,1,4,3,30,1,1
66,172,1,25000,25,16,2,2,1,36,1,1
68,118,0,23500,23.5,13,2,4,7,27,1,1
65,135,0,12000,12,12,1,1,1,22,0,1
67,140,0,15000,15,12,5,6,2,20,0,1
61,165,0,25000,25,8,7,1,0,67,1,0
73,210,1,3000,3,17,5,6,0,23,0,0
63,200,0,15000,15,12,2,1,0,68,0,0
66,145,0,20000,20,12,1,7,0,37,1,0
64,200,0,6000,6,12,8,1,2,67,0,1
71,160,1,14000,14,12,1,1,0,69,0,0
63,123,0,15000,15,16,3,1,2,31,0,1
71,180,1,175000,175,16,8,5,2,48,1,1
63,118,0,0,0,12,3,1,1,51,0,1
64,128,0,62000,62,16,5,1,1,70,1,1
73,170,1,1000,1,18,7,7,3,25,0,1
65,140,0,10000,10,14,6,2,0,63,0,0
66,120,1,45000,45,13,4,1,0,82,1,0
66,120,0,15000,15,12,1,1,0,81,0,0
60,135,0,45000,45,15,8,1,0,79,1,0
68,165,0,50000,50,18,4,1,2,52,1,1
59,140,0,20000,20,13,8,1,4,41,1,1
70,215,1,5000,5,12,2,6,2,42,0,1
70,165,1,35000,35,16,1,7,2,30,1,1
72,152,1,40000,40,16,4,7,0,28,1,0
64,135,0,35000,35,12,8,7,0,72,1,0
72,200,1,25000,25,12,8,2,1,33,1,1
66,170,0,50000,50,16,4,4,0,54,1,0
70,205,1,100000,100,18,5,1,0,57,1,0
69,145,1,35000,35,13,1,7,0,28,1,0
66,115,0,0,0,12,5,5,2,51,0,1
68,175,0,24000,24,12,3,1,0,35,1,0
64,120,0,0,0,12,4,1,4,30,0,1
67,140,0,25000,25,14,8,1,2,35,1,1
63,124,0,0,0,12,2,1,0,60,0,0
74,268,1,35000,35,17,6,1,0,43,1,0
73,230,1,38000,38,16,7,5,0,74,1,0
70,200,1,35000,35,13,8,4,0,29,1,0
60,130,0,25000,25,8,8,1,0,76,1,0
67,160,1,30000,30,12,8,6,0,52,1,0
64,136,0,5000,5,12,5,1,2,39,0,1
67,160,1,148000,148,18,1,4,0,38,1,0
70,165,1,30000,30,12,2,1,0,32,1,0
64,120,0,6500,6.5,15,8,6,1,31,0,1
62,95,0,3000,3,16,8,2,7,37,0,1
72,175,1,25000,25,15,8,1,0,75,1,0
66,200,0,0,0,8,1,1,2,53,0,1
69,230,1,23000,23,18,3,6,0,69,1,0
82,175,1,45000,45,18,4,1,1,65,1,1
63,150,0,35000,35,16,8,1,0,36,1,0
68,155,1,40000,40,17,8,6,2,41,1,1
72,180,1,30000,30,14,8,2,1,39,1,1
63,210,0,0,0,14,8,2,7,29,0,1
63,210,0,14000,14,12,6,5,0,37,0,0
64,120,0,26000,26,18,4,2,0,36,1,0
71,195,0,8000,8,12,8,7,7,25,0,1
64,123,0,24000,24,16,8,6,4,27,1,1
72,135,1,0,0,8,5,5,0,20,0,0
62,125,0,0,0,12,8,2,7,25,0,1
66,180,0,0,0,10,8,5,3,38,0,1
72,200,1,15000,15,12,1,1,0,40,0,0
66,140,1,5124,5.124,8,1,1,3,67,0,1
61,110,0,10000,10,15,2,4,3,25,0,1
64,165,0,5000,5,7,5,1,1,38,0,1
62,111,0,5000,5,13,8,5,0,20,0,0
69,125,0,0,0,13,8,7,1,19,0,1
68,145,0,12000,12,16,7,1,7,32,0,1
66,155,0,0,0,12,5,7,7,23,0,1
68,180,1,50000,50,17,7,6,0,34,1,0
71,158,1,136500,136.5,16,5,5,0,41,1,0
64,125,0,23000,23,13,4,2,1,26,1,1
61,118,0,0,0,16,7,1,1,40,0,1
68,155,0,25000,25,12,4,1,0,69,1,0
63,174,0,5000,5,9,5,1,0,69,0,0
65,138,0,5000,5,12,8,1,1,91,0,1
64,110,0,5000,5,12,8,1,5,18,0,1
65,130,0,15000,15,12,8,7,0,38,0,0
64,125,0,5000,5,14,7,2,0,19,0,0
66,130,1,40000,40,14,8,7,0,34,1,0
62,124,0,6000,6,13,7,1,7,26,0,1
71,170,1,100000,100,18,8,5,0,77,1,0
65,160,0,5000,5,16,8,1,7,30,0,1
64,190,0,45000,45,8,8,1,7,52,1,1
60,120,0,25000,25,12,8,5,0,26,1,0
66,156,1,110000,110,18,5,5,0,37,1,0
61,102,0,25000,25,13,8,4,2,37,1,1
72,145,1,41000,41,13,8,7,0,32,1,0
70,145,0,25000,25,12,5,6,0,55,1,0
63,130,0,23000,23,13,4,4,0,78,1,0
68,132,0,15000,15,14,8,5,0,78,0,0
63,120,0,0,0,12,7,5,7,32,0,1
70,165,1,21000,21,12,8,7,1,23,1,1
62,150,0,4000,4,12,5,1,7,29,0,1
71,280,1,25000,25,12,8,4,0,36,1,0
70,170,1,30000,30,18,4,7,1,46,1,1
64,159,0,14000,14,11,8,1,0,51,0,0
63,115,0,6000,6,12,3,2,7,35,0,1
65,144,0,14000,14,12,2,1,0,46,0,0
71,175,1,43000,43,12,1,6,6,27,1,1
62,128,0,25000,25,15,8,5,7,33,1,1
73,195,1,40000,40,12,8,1,0,66,1,0
64,135,0,25000,25,16,8,1,0,73,1,0
68,220,1,65000,65,17,5,5,3,40,1,1
76,210,1,16000,16,15,3,4,0,32,0,0
73,196,1,136500,136.5,16,1,1,0,65,1,0
70,160,1,87000,87,18,1,6,0,54,1,0
66,120,0,8000,8,12,8,1,0,71,0,0
68,140,1,45000,45,12,8,1,0,74,1,0
61,180,0,8000,8,11,1,1,0,72,0,0
65,185,0,15000,15,10,3,1,0,71,0,0
66,130,1,12000,12,12,5,4,0,28,0,0
63,132,0,8000,8,14,5,5,0,31,0,0
63,105,0,16000,16,15,1,1,2,32,0,1
74,170,1,6000,6,15,7,1,7,73,0,1
66,160,0,136500,136.5,12,4,7,1,45,1,1
70,180,1,19000,19,12,8,6,0,32,1,0
68,155,0,21000,21,13,6,3,5,39,1,1
70,131,0,43000,43,18,7,3,1,46,1,1
69,190,1,35000,35,15,7,7,0,21,1,0
70,175,1,8000,8,10,8,2,0,75,0,0
63,125,0,21000,21,14,7,1,1,41,1,1
65,135,0,5800,5.8,12,8,5,5,30,0,1
69,185,1,17000,17,12,5,1,0,46,1,0
65,120,0,45000,45,12,2,2,2,42,1,1
68,140,1,24000,24,14,4,3,2,49,1,1
62,140,0,5000,5,11,1,1,3,71,0,1
70,185,1,62000,62,11,1,1,0,48,1,0
66,150,0,11000,11,12,8,1,3,23,0,1
65,225,1,10000,10,13,5,1,0,27,0,0
70,185,1,40000,40,14,4,4,0,36,1,0
66,163,0,0,0,12,8,5,0,37,0,0
70,170,1,40000,40,12,8,4,0,47,1,0
66,165,0,24000,24,14,8,2,3,29,1,1
68,160,1,50000,50,18,8,7,0,34,1,0
68,160,1,24000,24,16,1,3,0,26,1,0
68,120,1,20000,20,16,8,3,0,33,1,0
63,120,0,15000,15,16,8,5,0,23,0,0
70,195,1,60000,60,18,3,1,0,50,1,0
65,155,0,11000,11,13,5,1,0,47,0,0
64,115,0,5000,5,15,8,2,7,40,0,1
63,113,0,136500,136.5,17,8,6,0,84,1,0
69,180,1,87000,87,18,8,5,5,39,1,1
65,135,0,27000,27,16,7,5,0,30,1,0
77,241,1,89000,89,16,8,1,2,41,1,1
70,175,1,40000,40,14,8,4,2,28,1,1
64,120,0,15000,15,16,8,7,0,26,0,0
64,130,0,1000,1,14,8,6,0,20,0,0
62,180,0,0,0,12,4,1,7,28,0,1
64,184,0,12000,12,8,1,1,0,48,0,0
63,125,0,22000,22,16,4,2,2,28,1,1
58,180,0,40000,40,12,8,1,0,56,1,0
73,182,1,25000,25,10,2,6,2,55,1,1
66,182,0,0,0,12,8,6,0,58,0,0
64,120,0,62000,62,16,7,7,3,40,1,1
62,150,0,40000,40,16,5,1,0,44,1,0
61,123,0,0,0,13,6,7,0,42,0,0
64,113,0,35000,35,14,4,2,0,53,1,0
64,119,0,7000,7,12,8,1,0,28,0,0
70,190,1,25000,25,14,8,1,0,40,1,0
62,118,0,14000,14,12,6,2,0,37,0,0
62,120,0,5000,5,12,8,1,1,20,0,1
64,150,0,15000,15,12,2,1,0,56,0,0
66,240,0,0,0,14,1,1,0,31,0,0
66,150,0,6000,6,13,7,6,0,34,0,0
69,223,0,11000,11,12,1,1,7,41,0,1
64,132,0,10000,10,13,4,1,0,31,0,0
62,168,0,0,0,12,8,1,1,59,0,1
62,118,0,5000,5,12,4,4,4,32,0,1
71,193,1,20000,20,14,8,5,2,41,1,1
59,108,0,35000,35,12,7,1,0,56,1,0
62,155,0,7000,7,12,4,1,0,73,0,0
68,185,1,38000,38,9,8,2,1,46,1,1
68,175,1,29000,29,9,4,1,1,58,1,1
62,122,0,20000,20,10,4,1,0,44,1,0
63,160,0,8000,8,12,4,1,0,57,0,0
69,175,1,36000,36,16,8,1,0,51,1,0
67,228,0,1500,1.5,12,7,7,1,44,0,1
64,135,0,42000,42,18,6,5,1,29,1,1
68,135,0,35000,35,17,8,1,1,44,1,1
70,165,1,25000,25,12,1,7,0,22,1,0
76,150,1,5000,5,9,3,6,0,18,0,0
69,140,1,13000,13,10,1,1,0,20,0,0
66,133,0,20000,20,11,4,1,0,64,1,0
66,98,0,10000,10,12,8,1,1,71,0,1
72,194,1,50000,50,15,8,5,3,49,1,1
69,145,1,30000,30,11,8,1,0,51,1,0
69,160,1,7000,7,12,7,6,0,23,0,0
62,118,0,15000,15,12,8,1,0,82,0,0
60,200,0,31000,31,12,8,1,7,48,1,1
66,149,0,15000,15,12,2,2,3,42,0,1
60,135,0,0,0,18,2,1,4,41,0,1
67,170,1,50000,50,16,7,2,1,49,1,1
67,120,0,5000,5,11,1,1,3,18,0,1
66,140,1,5000,5,15,8,7,0,20,0,0
70,150,0,600,0.6,12,7,6,3,18,0,1
64,150,0,14000,14,8,8,1,0,51,0,0
60,105,0,40000,40,18,8,1,0,35,1,0
68,170,1,24000,24,18,5,7,5,36,1,1
66,150,0,25000,25,12,8,1,0,59,1,0
73,180,1,22000,22,12,1,5,7,24,1,1
72,215,1,20000,20,8,4,1,1,36,1,1
64,145,0,20112,20.112,12,8,5,3,38,1,1
67,135,1,12000,12,13,7,1,1,67,0,1
71,180,1,15000,15,8,8,6,0,37,0,0
70,221,1,20000,20,18,7,7,0,69,1,0
66,129,0,5000,5,8,4,1,0,44,0,0
67,140,0,41000,41,13,7,1,1,40,1,1
71,155,1,13000,13,9,8,1,0,50,0,0
63,136,0,0,0,12,5,5,3,25,0,1
73,170,1,60000,60,16,1,4,0,31,1,0
70,155,1,24000,24,16,8,7,4,25,1,1
70,165,1,38000,38,16,1,7,6,36,1,1
71,128,0,3000,3,14,3,2,4,27,0,1
66,110,0,13000,13,12,4,2,0,30,0,0
75,160,1,5000,5,12,1,2,2,21,0,1
60,92,0,20000,20,14,4,5,5,37,1,1
72,230,1,22000,22,12,4,7,5,28,1,1
70,256,0,35000,35,14,1,1,2,40,1,1
63,118,0,0,0,16,3,7,1,23,0,1
75,230,1,28000,28,9,8,4,0,55,1,0
60,110,0,22000,22,12,6,3,7,41,1,1
73,186,1,30000,30,12,8,5,1,44,1,1
65,165,1,5000,5,6,8,1,0,70,0,0
65,210,0,30000,30,12,2,1,7,32,1,1
63,135,0,35000,35,17,8,1,0,63,1,0
67,140,1,30000,30,16,8,4,0,31,1,0
61,130,0,32000,32,12,8,1,0,69,1,0
69,135,0,26000,26,17,6,5,4,43,1,1
64,144,0,22000,22,14,4,6,1,34,1,1
62,190,0,15000,15,14,5,1,0,72,0,0
70,150,1,25000,25,12,6,5,0,33,1,0
68,147,0,11000,11,10,8,3,7,24,0,1
67,140,1,15000,15,12,8,1,0,33,0,0
62,130,0,13000,13,12,5,1,1,53,0,1
64,180,0,10000,10,15,7,7,1,42,0,1
68,110,0,0,0,12,1,1,7,24,0,1
72,200,1,35000,35,16,8,6,0,32,1,0
68,120,0,12000,12,12,4,4,0,45,0,0
64,130,0,25000,25,17,6,1,7,38,1,1
66,130,1,0,0,13,5,7,0,57,0,0
64,118,0,7000,7,11,8,1,0,64,0,0
73,230,1,57000,57,14,2,1,0,37,1,0
73,210,1,36000,36,16,8,4,2,37,1,1
69,175,1,29000,29,14,7,6,4,29,1,1
68,133,0,8000,8,13,8,4,2,19,0,1
71,125,1,3000,3,11,8,1,4,18,0,1
63,160,0,0,0,12,5,2,0,64,0,0
66,205,0,20000,20,16,8,1,0,41,1,0
66,158,0,0,0,12,8,1,3,36,0,1
66,173,1,33000,33,12,7,4,1,57,1,1
68,210,0,15000,15,12,8,1,0,68,0,0
70,235,1,16000,16,12,1,1,1,33,0,1
62,148,0,5000,5,12,6,7,2,78,0,1
66,142,0,8000,8,14,5,4,3,43,0,1
63,122,0,32000,32,16,4,1,3,34,1,1
75,175,1,14500,14.5,12,1,3,0,24,0,0
67,125,0,13000,13,12,2,2,6,29,0,1
68,115,1,5000,5,16,4,5,0,27,0,0
62,125,0,0,0,10,8,7,2,20,0,1
70,200,0,5000,5,11,4,1,1,57,0,1
63,160,0,7000,7,9,7,4,1,25,0,1
65,126,0,50000,50,18,7,1,0,65,1,0
69,185,0,12000,12,12,8,2,3,35,0,1
71,209,1,19000,19,14,8,6,0,61,1,0
62,110,0,9000,9,12,8,7,0,55,0,0
64,110,0,25000,25,12,2,2,4,38,1,1
65,130,0,20000,20,12,8,1,2,35,1,1
72,170,1,55000,55,18,1,1,0,35,1,0
62,145,0,15000,15,12,2,1,0,71,0,0
75,190,1,45000,45,18,6,7,4,31,1,1
65,120,0,10000,10,12,8,7,0,40,0,0
65,142,0,15000,15,12,8,1,0,67,0,0
63,113,0,13000,13,12,2,2,0,19,0,0
66,120,0,45000,45,18,7,7,0,30,1,0
64,110,0,20000,20,13,1,1,7,31,1,1
68,116,0,45000,45,16,6,2,6,29,1,1
72,185,1,30000,30,12,8,6,0,26,1,0
64,110,0,12000,12,12,8,1,1,34,0,1
70,125,0,26000,26,13,7,2,2,33,1,1
65,115,0,12500,12.5,12,3,6,1,27,0,1
64,130,0,8000,8,12,2,1,1,29,0,1
64,120,0,15000,15,16,2,6,7,32,0,1
67,207,1,65000,65,14,2,7,1,25,1,1
73,175,1,25000,25,10,8,6,6,21,1,1
73,185,1,8000,8,14,4,6,1,21,0,1
65,110,1,15000,15,14,7,4,1,21,0,1
64,160,0,12000,12,16,4,1,1,40,0,1
72,195,1,35000,35,12,8,1,2,42,1,1
67,140,0,35000,35,13,5,6,2,37,1,1
67,162,1,40000,40,16,7,6,0,31,1,0
66,140,0,15000,15,14,7,2,1,24,0,1
74,145,1,29000,29,12,8,4,0,22,1,0
60,114,0,5000,5,10,8,1,0,74,0,0
64,96,0,15000,15,12,5,4,7,33,0,1
63,175,0,15000,15,13,4,2,1,31,0,1
74,250,1,20000,20,12,4,2,1,36,1,1
74,205,1,3000,3,6,8,5,0,62,0,0
63,120,0,1000,1,16,8,2,5,19,0,1
62,140,0,8000,8,11,3,2,7,23,0,1
62,103,0,5000,5,12,4,6,1,18,0,1
67,160,0,25000,25,16,8,5,2,27,1,1
75,219,1,5000,5,13,7,5,0,22,0,0
69,163,1,20000,20,12,7,4,0,57,1,0
65,133,0,15000,15,12,2,1,0,26,0,0
73,150,1,30000,30,12,2,2,0,34,1,0
63,200,0,12000,12,12,1,1,0,35,0,0
60,120,0,0,0,12,7,1,7,34,0,1
65,122,0,15000,15,14,8,7,2,38,0,1
64,145,1,5000,5,14,4,1,0,34,0,0
64,130,0,15000,15,10,5,2,1,59,0,1
64,135,0,25000,25,18,8,1,0,78,1,0
67,210,0,10000,10,14,7,1,1,32,0,1
69,140,1,16000,16,12,8,1,0,19,0,0
71,185,1,45000,45,12,2,5,0,29,1,0
72,170,1,40000,40,14,5,5,0,54,1,0
72,200,1,15000,15,12,8,6,1,26,0,1
63,140,0,0,0,12,4,1,7,62,0,1
66,152,0,20000,20,13,8,5,0,33,1,0
70,125,1,25000,25,14,3,1,0,81,1,0
64,145,0,19000,19,14,7,5,0,52,1,0
64,128,0,17600,17.6,16,2,2,3,30,1,1
68,155,1,7000,7,12,8,1,0,67,0,0
74,207,1,30000,30,12,5,4,2,32,1,1
62,125,0,18000,18,11,1,1,0,47,1,0
63,135,0,15000,15,8,7,1,0,41,0,0
65,135,0,25000,25,16,4,2,2,47,1,1
66,155,0,0,0,14,6,1,1,55,0,1
60,120,0,6000,6,5,8,1,7,62,0,1
69,170,1,70000,70,18,7,6,0,42,1,0
61,115,0,15000,15,16,5,1,0,34,0,0
68,140,1,15000,15,12,8,1,0,61,0,0
65,135,0,25000,25,17,8,1,0,33,1,0
66,120,0,35000,35,16,4,6,0,28,1,0
70,155,1,18000,18,16,5,3,0,24,1,0
72,165,1,28000,28,15,2,6,0,30,1,0
66,160,0,35000,35,12,8,1,0,49,1,0
67,150,1,25000,25,12,8,4,1,23,1,1
64,135,0,15000,15,11,8,6,0,21,0,0
71,172,1,22000,22,14,7,2,0,28,1,0
63,128,0,0,0,12,8,6,0,29,0,0
73,190,1,35000,35,12,3,3,0,30,1,0
64,140,0,18000,18,15,1,6,0,46,1,0
68,150,1,35000,35,14,7,5,0,37,1,0
64,115,0,16400,16.4,12,4,1,5,21,1,1
66,135,1,22000,22,16,1,1,1,37,1,1
67,128,0,30000,30,16,4,1,0,58,1,0
64,135,0,17000,17,12,4,5,2,27,1,1
64,147,0,25000,25,14,8,6,7,36,1,1
62,138,0,10000,10,12,6,1,3,51,0,1
69,180,1,40000,40,12,1,3,1,37,1,1
63,125,0,12500,12.5,12,2,1,0,63,0,0
63,180,0,15000,15,12,1,1,0,77,0,0
63,135,0,10000,10,12,7,3,7,30,0,1
72,195,1,35000,35,15,1,1,3,45,1,1
61,93,0,0,0,16,8,6,2,23,0,1
75,202,1,105000,105,12,2,2,1,49,1,1
71,160,1,25000,25,12,2,1,1,27,1,1
70,170,1,100000,100,18,8,7,1,40,1,1
60,130,0,25000,25,12,1,1,0,61,1,0
69,158,1,21000,21,12,1,1,0,51,1,0
64,200,0,10000,10,14,1,1,7,56,0,1
72,222,1,33000,33,12,2,1,3,26,1,1
69,149,1,26000,26,18,1,7,0,25,1,0
63,136,0,60000,60,10,7,1,0,78,1,0
64,110,0,15000,15,16,8,5,0,84,0,0
71,235,1,18000,18,16,7,7,1,45,1,1
59,105,0,15000,15,8,8,1,0,61,0,0
68,170,1,5000,5,13,6,4,0,20,0,0
77,270,1,60000,60,17,8,2,0,42,1,0
68,150,0,12000,12,14,8,1,3,69,0,1
70,140,1,28000,28,18,8,1,0,38,1,0
69,154,1,42000,42,18,5,6,0,43,1,0
63,103,0,2000,2,12,8,1,0,33,0,0
65,147,0,10000,10,16,1,1,1,54,0,1
73,190,1,20000,20,18,8,6,0,33,1,0
66,145,1,28000,28,15,8,1,0,40,1,0
72,212,1,10000,10,17,4,2,0,62,0,0
66,164,1,0,0,16,8,1,0,65,0,0
72,161,1,31000,31,12,8,6,7,31,1,1
69,172,0,17000,17,13,7,1,4,37,1,1
67,220,0,16000,16,12,4,1,3,39,0,1
66,170,0,35000,35,15,8,1,0,38,1,0
67,111,0,3000,3,12,4,1,7,26,0,1
68,149,0,5000,5,11,7,6,1,78,0,1
72,155,1,25000,25,10,1,1,0,51,1,0
68,150,0,16000,16,18,8,6,4,39,0,1
65,120,0,35000,35,15,8,7,3,42,1,1
62,140,0,27000,27,17,5,1,0,33,1,0
69,155,1,25000,25,17,5,5,1,29,1,1
62,200,0,0,0,14,8,1,1,78,0,1
70,145,1,40000,40,16,4,4,1,41,1,1
66,151,0,45000,45,16,5,2,0,43,1,0
66,185,1,14000,14,12,7,1,2,23,0,1
