"","draft","year","ideology","state"
"1",0,1950,3,"CO"
"2",0,1950,2,"CO"
"3",0,1950,1,"CO"
"4",0,1950,3,"CO"
"5",0,1950,3,"CO"
"6",0,1950,2,"CO"
"7",0,1950,1,"CO"
"8",0,1950,1,"CO"
"9",0,1950,3,"CO"
"10",0,1950,2,"CO"
"11",0,1950,2,"CO"
"12",0,1950,2,"CO"
"13",0,1950,5,"CO"
"14",0,1950,2,"CO"
"15",0,1950,3,"CO"
"16",0,1950,3,"CO"
"17",0,1950,2,"CO"
"18",0,1950,1,"CO"
"19",0,1950,2,"CO"
"20",0,1950,3,"CO"
"21",0,1950,3,"CO"
"22",0,1950,2,"CO"
"23",0,1950,1,"CO"
"24",0,1950,4,"CO"
"25",0,1950,3,"CO"
"26",0,1950,3,"CO"
"27",0,1950,2,"CO"
"28",0,1950,1,"CO"
"29",0,1950,3,"CO"
"30",0,1950,4,"CO"
"31",0,1950,1,"CO"
"32",0,1950,5,"CO"
"33",0,1950,3,"CO"
"34",0,1950,1,"CO"
"35",0,1950,4,"CO"
"36",0,1950,3,"CO"
"37",0,1950,3,"CO"
"38",0,1950,4,"CO"
"39",0,1950,2,"CO"
"40",0,1950,4,"CO"
"41",0,1950,3,"CO"
"42",0,1950,2,"CO"
"43",0,1950,4,"CO"
"44",0,1950,4,"CO"
"45",0,1950,5,"CO"
"46",0,1950,3,"CO"
"47",0,1950,3,"CO"
"48",0,1950,2,"CO"
"49",0,1950,2,"CO"
"50",0,1950,4,"CO"
"51",0,1951,4,"CO"
"52",0,1951,3,"CO"
"53",0,1951,4,"CO"
"54",0,1951,3,"CO"
"55",0,1951,1,"CO"
"56",0,1951,3,"CO"
"57",0,1951,3,"CO"
"58",0,1951,2,"CO"
"59",0,1951,2,"CO"
"60",0,1951,4,"CO"
"61",0,1951,2,"CO"
"62",0,1951,3,"CO"
"63",0,1951,1,"CO"
"64",0,1951,3,"CO"
"65",0,1951,4,"CO"
"66",0,1951,4,"CO"
"67",0,1951,3,"CO"
"68",0,1951,3,"CO"
"69",0,1951,4,"CO"
"70",0,1951,5,"CO"
"71",0,1951,3,"CO"
"72",0,1951,3,"CO"
"73",0,1951,2,"CO"
"74",0,1951,2,"CO"
"75",0,1951,2,"CO"
"76",0,1951,3,"CO"
"77",0,1951,4,"CO"
"78",0,1951,2,"CO"
"79",0,1951,3,"CO"
"80",0,1951,5,"CO"
"81",0,1951,4,"CO"
"82",0,1951,3,"CO"
"83",0,1951,4,"CO"
"84",0,1951,3,"CO"
"85",0,1951,3,"CO"
"86",0,1951,5,"CO"
"87",0,1951,3,"CO"
"88",0,1951,2,"CO"
"89",0,1951,4,"CO"
"90",0,1951,3,"CO"
"91",0,1951,4,"CO"
"92",0,1951,3,"CO"
"93",0,1951,2,"CO"
"94",0,1951,5,"CO"
"95",0,1951,2,"CO"
"96",0,1952,3,"CO"
"97",0,1952,1,"CO"
"98",0,1952,2,"CO"
"99",0,1952,4,"CO"
"100",0,1952,2,"CO"
"101",0,1952,4,"CO"
"102",0,1952,4,"CO"
"103",0,1952,3,"CO"
"104",0,1952,4,"CO"
"105",0,1952,3,"CO"
"106",0,1952,3,"CO"
"107",0,1952,4,"CO"
"108",0,1952,4,"CO"
"109",0,1952,4,"CO"
"110",0,1952,2,"CO"
"111",0,1952,3,"CO"
"112",0,1952,2,"CO"
"113",0,1952,2,"CO"
"114",0,1952,3,"CO"
"115",0,1952,1,"CO"
"116",0,1952,3,"CO"
"117",0,1952,2,"CO"
"118",0,1952,4,"CO"
"119",0,1952,5,"CO"
"120",0,1952,3,"CO"
"121",0,1952,3,"CO"
"122",0,1952,2,"CO"
"123",0,1952,4,"CO"
"124",0,1952,2,"CO"
"125",0,1952,2,"CO"
"126",0,1952,2,"CO"
"127",0,1952,2,"CO"
"128",0,1950,1,"OR"
"129",0,1950,3,"OR"
"130",0,1950,4,"OR"
"131",0,1950,3,"OR"
"132",0,1950,2,"OR"
"133",0,1950,4,"OR"
"134",0,1950,3,"OR"
"135",0,1950,3,"OR"
"136",0,1950,4,"OR"
"137",0,1950,3,"OR"
"138",0,1950,3,"OR"
"139",0,1950,2,"OR"
"140",0,1950,3,"OR"
"141",0,1950,4,"OR"
"142",0,1950,3,"OR"
"143",0,1950,2,"OR"
"144",0,1950,2,"OR"
"145",0,1950,2,"OR"
"146",0,1950,3,"OR"
"147",0,1950,2,"OR"
"148",0,1950,2,"OR"
"149",0,1950,3,"OR"
"150",0,1950,3,"OR"
"151",0,1950,2,"OR"
"152",0,1950,3,"OR"
"153",0,1950,3,"OR"
"154",0,1950,3,"OR"
"155",0,1950,2,"OR"
"156",0,1950,2,"OR"
"157",0,1950,2,"OR"
"158",0,1950,5,"OR"
"159",0,1950,3,"OR"
"160",0,1950,4,"OR"
"161",0,1950,2,"OR"
"162",0,1950,4,"OR"
"163",0,1950,4,"OR"
"164",0,1950,3,"OR"
"165",0,1950,1,"OR"
"166",0,1950,3,"OR"
"167",0,1950,4,"OR"
"168",0,1950,3,"OR"
"169",0,1950,3,"OR"
"170",0,1950,5,"OR"
"171",0,1950,3,"OR"
"172",0,1950,2,"OR"
"173",0,1950,5,"OR"
"174",0,1950,2,"OR"
"175",0,1950,2,"OR"
"176",0,1950,3,"OR"
"177",0,1950,2,"OR"
"178",0,1950,4,"OR"
"179",0,1950,5,"OR"
"180",0,1950,2,"OR"
"181",0,1950,1,"OR"
"182",0,1950,3,"OR"
"183",0,1950,4,"OR"
"184",0,1950,5,"OR"
"185",0,1950,3,"OR"
"186",0,1950,3,"OR"
"187",0,1950,5,"OR"
"188",0,1950,5,"OR"
"189",0,1951,4,"OR"
"190",0,1951,4,"OR"
"191",0,1951,5,"OR"
"192",0,1951,3,"OR"
"193",0,1951,2,"OR"
"194",0,1951,4,"OR"
"195",0,1951,1,"OR"
"196",0,1951,5,"OR"
"197",0,1951,5,"OR"
"198",0,1951,5,"OR"
"199",0,1951,3,"OR"
"200",0,1951,5,"OR"
"201",0,1951,2,"OR"
"202",0,1951,3,"OR"
"203",0,1951,1,"OR"
"204",0,1951,1,"OR"
"205",0,1951,3,"OR"
"206",0,1951,4,"OR"
"207",0,1951,3,"OR"
"208",0,1951,5,"OR"
"209",0,1951,5,"OR"
"210",0,1951,3,"OR"
"211",0,1951,2,"OR"
"212",0,1951,3,"OR"
"213",0,1951,3,"OR"
"214",0,1951,5,"OR"
"215",0,1951,2,"OR"
"216",0,1951,3,"OR"
"217",0,1951,3,"OR"
"218",0,1951,4,"OR"
"219",0,1951,4,"OR"
"220",0,1951,5,"OR"
"221",0,1951,3,"OR"
"222",0,1951,3,"OR"
"223",0,1951,5,"OR"
"224",0,1951,4,"OR"
"225",0,1951,3,"OR"
"226",0,1951,4,"OR"
"227",0,1951,3,"OR"
"228",0,1951,2,"OR"
"229",0,1951,4,"OR"
"230",0,1951,3,"OR"
"231",0,1951,4,"OR"
"232",0,1951,2,"OR"
"233",0,1951,3,"OR"
"234",0,1951,3,"OR"
"235",0,1951,3,"OR"
"236",0,1951,3,"OR"
"237",0,1951,5,"OR"
"238",0,1951,4,"OR"
"239",0,1951,3,"OR"
"240",0,1951,3,"OR"
"241",0,1951,3,"OR"
"242",0,1951,3,"OR"
"243",0,1951,3,"OR"
"244",0,1951,5,"OR"
"245",0,1951,4,"OR"
"246",0,1951,4,"OR"
"247",0,1951,3,"OR"
"248",0,1951,1,"OR"
"249",0,1951,1,"OR"
"250",0,1951,1,"OR"
"251",0,1951,2,"OR"
"252",0,1951,2,"OR"
"253",0,1951,2,"OR"
"254",0,1951,3,"OR"
"255",0,1951,3,"OR"
"256",0,1951,5,"OR"
"257",0,1951,3,"OR"
"258",0,1951,2,"OR"
"259",0,1951,2,"OR"
"260",0,1952,1,"OR"
"261",0,1952,1,"OR"
"262",0,1952,5,"OR"
"263",0,1952,3,"OR"
"264",0,1952,5,"OR"
"265",0,1952,5,"OR"
"266",0,1952,5,"OR"
"267",0,1952,2,"OR"
"268",0,1952,3,"OR"
"269",0,1952,3,"OR"
"270",0,1952,2,"OR"
"271",0,1952,2,"OR"
"272",0,1952,4,"OR"
"273",0,1952,4,"OR"
"274",0,1952,3,"OR"
"275",0,1952,2,"OR"
"276",0,1952,3,"OR"
"277",0,1952,2,"OR"
"278",0,1952,4,"OR"
"279",0,1952,4,"OR"
"280",0,1952,4,"OR"
"281",0,1952,4,"OR"
"282",0,1952,4,"OR"
"283",0,1952,5,"OR"
"284",0,1952,5,"OR"
"285",0,1952,3,"OR"
"286",0,1952,4,"OR"
"287",0,1952,2,"OR"
"288",0,1952,2,"OR"
"289",0,1952,1,"OR"
"290",0,1952,4,"OR"
"291",0,1952,4,"OR"
"292",0,1952,4,"OR"
"293",0,1952,3,"OR"
"294",0,1952,3,"OR"
"295",0,1952,2,"OR"
"296",0,1952,4,"OR"
"297",0,1952,4,"OR"
"298",0,1952,5,"OR"
"299",0,1952,3,"OR"
"300",0,1952,3,"OR"
"301",0,1952,4,"OR"
"302",0,1952,3,"OR"
"303",0,1952,3,"OR"
"304",0,1952,3,"OR"
"305",0,1952,4,"OR"
"306",0,1952,3,"OR"
"307",0,1952,3,"OR"
"308",0,1952,2,"OR"
"309",0,1952,3,"OR"
"310",0,1952,4,"OR"
"311",0,1952,5,"OR"
"312",0,1952,3,"OR"
"313",0,1952,3,"OR"
"314",0,1952,3,"OR"
"315",0,1952,2,"OR"
"316",0,1952,4,"OR"
"317",1,1950,3,"CO"
"318",1,1950,4,"CO"
"319",1,1950,5,"CO"
"320",1,1950,3,"CO"
"321",1,1950,1,"CO"
"322",1,1950,1,"CO"
"323",1,1950,2,"CO"
"324",1,1950,3,"CO"
"325",1,1950,4,"CO"
"326",1,1950,3,"CO"
"327",1,1950,4,"CO"
"328",1,1950,4,"CO"
"329",1,1950,4,"CO"
"330",1,1950,2,"CO"
"331",1,1950,3,"CO"
"332",1,1950,5,"CO"
"333",1,1950,3,"CO"
"334",1,1950,5,"CO"
"335",1,1950,2,"CO"
"336",1,1950,4,"CO"
"337",1,1950,5,"CO"
"338",1,1950,2,"CO"
"339",1,1950,4,"CO"
"340",1,1950,4,"CO"
"341",1,1950,5,"CO"
"342",1,1950,3,"CO"
"343",1,1950,5,"CO"
"344",1,1950,2,"CO"
"345",1,1950,3,"CO"
"346",1,1950,1,"CO"
"347",1,1950,3,"CO"
"348",1,1950,3,"CO"
"349",1,1950,3,"CO"
"350",1,1950,3,"CO"
"351",1,1950,3,"CO"
"352",1,1950,2,"CO"
"353",1,1950,2,"CO"
"354",1,1950,3,"CO"
"355",1,1950,2,"CO"
"356",1,1951,2,"CO"
"357",1,1951,3,"CO"
"358",1,1951,2,"CO"
"359",1,1951,2,"CO"
"360",1,1951,3,"CO"
"361",1,1951,4,"CO"
"362",1,1951,2,"CO"
"363",1,1951,3,"CO"
"364",1,1951,4,"CO"
"365",1,1951,4,"CO"
"366",1,1951,3,"CO"
"367",1,1951,4,"CO"
"368",1,1951,2,"CO"
"369",1,1951,2,"CO"
"370",1,1951,3,"CO"
"371",1,1951,4,"CO"
"372",1,1951,5,"CO"
"373",1,1951,4,"CO"
"374",1,1951,4,"CO"
"375",1,1951,1,"CO"
"376",1,1951,3,"CO"
"377",1,1951,3,"CO"
"378",1,1951,3,"CO"
"379",1,1951,3,"CO"
"380",1,1951,4,"CO"
"381",1,1951,3,"CO"
"382",1,1951,3,"CO"
"383",1,1951,3,"CO"
"384",1,1951,3,"CO"
"385",1,1951,3,"CO"
"386",1,1951,3,"CO"
"387",1,1951,2,"CO"
"388",1,1951,2,"CO"
"389",1,1951,3,"CO"
"390",1,1951,3,"CO"
"391",1,1951,2,"CO"
"392",1,1951,3,"CO"
"393",1,1951,3,"CO"
"394",1,1951,4,"CO"
"395",1,1951,3,"CO"
"396",1,1951,3,"CO"
"397",1,1951,3,"CO"
"398",1,1951,3,"CO"
"399",1,1951,3,"CO"
"400",1,1951,2,"CO"
"401",1,1951,2,"CO"
"402",1,1951,2,"CO"
"403",1,1951,2,"CO"
"404",1,1951,2,"CO"
"405",1,1951,3,"CO"
"406",1,1951,4,"CO"
"407",1,1951,4,"CO"
"408",1,1952,3,"CO"
"409",1,1952,2,"CO"
"410",1,1952,3,"CO"
"411",1,1952,2,"CO"
"412",1,1952,4,"CO"
"413",1,1952,2,"CO"
"414",1,1952,2,"CO"
"415",1,1952,3,"CO"
"416",1,1952,3,"CO"
"417",1,1952,3,"CO"
"418",1,1952,3,"CO"
"419",1,1952,5,"CO"
"420",1,1952,4,"CO"
"421",1,1952,3,"CO"
"422",1,1952,3,"CO"
"423",1,1952,4,"CO"
"424",1,1952,3,"CO"
"425",1,1952,3,"CO"
"426",1,1952,1,"CO"
"427",1,1952,4,"CO"
"428",1,1952,3,"CO"
"429",1,1952,1,"CO"
"430",1,1952,2,"CO"
"431",1,1952,2,"CO"
"432",1,1952,2,"CO"
"433",1,1952,4,"CO"
"434",1,1952,3,"CO"
"435",1,1952,3,"CO"
"436",1,1952,2,"CO"
"437",1,1952,5,"CO"
"438",1,1952,5,"CO"
"439",1,1952,2,"CO"
"440",1,1952,2,"CO"
"441",1,1952,2,"CO"
"442",1,1952,2,"CO"
"443",1,1952,4,"CO"
"444",1,1952,3,"CO"
"445",1,1952,1,"CO"
"446",1,1952,4,"CO"
"447",1,1952,1,"CO"
"448",1,1952,2,"CO"
"449",1,1952,3,"CO"
"450",1,1952,4,"CO"
"451",1,1952,2,"CO"
"452",1,1952,3,"CO"
"453",1,1952,4,"CO"
"454",1,1952,3,"CO"
"455",1,1952,2,"CO"
"456",1,1952,2,"CO"
"457",1,1952,3,"CO"
"458",1,1952,2,"CO"
"459",1,1952,2,"CO"
"460",1,1952,4,"CO"
"461",1,1952,2,"CO"
"462",1,1952,2,"CO"
"463",1,1952,4,"CO"
"464",1,1952,2,"CO"
"465",1,1952,2,"CO"
"466",1,1952,2,"CO"
"467",1,1950,2,"OR"
"468",1,1950,3,"OR"
"469",1,1950,2,"OR"
"470",1,1950,3,"OR"
"471",1,1950,4,"OR"
"472",1,1950,2,"OR"
"473",1,1950,3,"OR"
"474",1,1950,3,"OR"
"475",1,1950,1,"OR"
"476",1,1950,3,"OR"
"477",1,1950,4,"OR"
"478",1,1950,4,"OR"
"479",1,1950,2,"OR"
"480",1,1950,3,"OR"
"481",1,1950,2,"OR"
"482",1,1950,3,"OR"
"483",1,1950,3,"OR"
"484",1,1950,2,"OR"
"485",1,1950,2,"OR"
"486",1,1950,3,"OR"
"487",1,1950,5,"OR"
"488",1,1950,4,"OR"
"489",1,1950,3,"OR"
"490",1,1950,4,"OR"
"491",1,1950,3,"OR"
"492",1,1950,5,"OR"
"493",1,1950,3,"OR"
"494",1,1950,4,"OR"
"495",1,1950,4,"OR"
"496",1,1950,3,"OR"
"497",1,1950,2,"OR"
"498",1,1950,2,"OR"
"499",1,1950,3,"OR"
"500",1,1950,5,"OR"
"501",1,1950,4,"OR"
"502",1,1950,4,"OR"
"503",1,1950,2,"OR"
"504",1,1950,4,"OR"
"505",1,1950,4,"OR"
"506",1,1950,3,"OR"
"507",1,1950,2,"OR"
"508",1,1950,2,"OR"
"509",1,1950,5,"OR"
"510",1,1950,4,"OR"
"511",1,1950,2,"OR"
"512",1,1950,3,"OR"
"513",1,1950,5,"OR"
"514",1,1950,3,"OR"
"515",1,1950,3,"OR"
"516",1,1950,2,"OR"
"517",1,1950,4,"OR"
"518",1,1950,4,"OR"
"519",1,1950,3,"OR"
"520",1,1950,1,"OR"
"521",1,1950,5,"OR"
"522",1,1950,3,"OR"
"523",1,1950,4,"OR"
"524",1,1950,4,"OR"
"525",1,1950,4,"OR"
"526",1,1950,4,"OR"
"527",1,1950,4,"OR"
"528",1,1951,1,"OR"
"529",1,1951,5,"OR"
"530",1,1951,1,"OR"
"531",1,1951,3,"OR"
"532",1,1951,4,"OR"
"533",1,1951,5,"OR"
"534",1,1951,3,"OR"
"535",1,1951,3,"OR"
"536",1,1951,3,"OR"
"537",1,1951,5,"OR"
"538",1,1951,1,"OR"
"539",1,1951,4,"OR"
"540",1,1951,3,"OR"
"541",1,1951,2,"OR"
"542",1,1951,3,"OR"
"543",1,1951,3,"OR"
"544",1,1951,3,"OR"
"545",1,1951,5,"OR"
"546",1,1951,5,"OR"
"547",1,1951,3,"OR"
"548",1,1951,2,"OR"
"549",1,1951,2,"OR"
"550",1,1951,3,"OR"
"551",1,1951,4,"OR"
"552",1,1951,3,"OR"
"553",1,1951,1,"OR"
"554",1,1951,3,"OR"
"555",1,1951,3,"OR"
"556",1,1951,3,"OR"
"557",1,1951,1,"OR"
"558",1,1951,3,"OR"
"559",1,1951,2,"OR"
"560",1,1951,3,"OR"
"561",1,1951,4,"OR"
"562",1,1951,3,"OR"
"563",1,1951,1,"OR"
"564",1,1951,5,"OR"
"565",1,1951,3,"OR"
"566",1,1951,3,"OR"
"567",1,1951,4,"OR"
"568",1,1951,3,"OR"
"569",1,1951,4,"OR"
"570",1,1951,2,"OR"
"571",1,1951,3,"OR"
"572",1,1951,3,"OR"
"573",1,1951,2,"OR"
"574",1,1951,2,"OR"
"575",1,1951,3,"OR"
"576",1,1951,3,"OR"
"577",1,1951,4,"OR"
"578",1,1951,4,"OR"
"579",1,1951,2,"OR"
"580",1,1951,2,"OR"
"581",1,1951,2,"OR"
"582",1,1951,3,"OR"
"583",1,1951,3,"OR"
"584",1,1951,3,"OR"
"585",1,1951,2,"OR"
"586",1,1951,3,"OR"
"587",1,1951,3,"OR"
"588",1,1951,1,"OR"
"589",1,1951,2,"OR"
"590",1,1952,3,"OR"
"591",1,1952,3,"OR"
"592",1,1952,3,"OR"
"593",1,1952,5,"OR"
"594",1,1952,4,"OR"
"595",1,1952,3,"OR"
"596",1,1952,5,"OR"
"597",1,1952,5,"OR"
"598",1,1952,4,"OR"
"599",1,1952,2,"OR"
"600",1,1952,3,"OR"
"601",1,1952,2,"OR"
"602",1,1952,4,"OR"
"603",1,1952,3,"OR"
"604",1,1952,2,"OR"
"605",1,1952,4,"OR"
"606",1,1952,2,"OR"
"607",1,1952,4,"OR"
"608",1,1952,3,"OR"
"609",1,1952,2,"OR"
"610",1,1952,4,"OR"
"611",1,1952,2,"OR"
"612",1,1952,2,"OR"
"613",1,1952,4,"OR"
"614",1,1952,4,"OR"
"615",1,1952,2,"OR"
"616",1,1952,5,"OR"
"617",1,1952,4,"OR"
"618",1,1952,4,"OR"
"619",1,1952,2,"OR"
"620",1,1952,4,"OR"
"621",1,1952,3,"OR"
"622",1,1952,3,"OR"
"623",1,1952,3,"OR"
"624",1,1952,2,"OR"
"625",1,1952,3,"OR"
"626",1,1952,5,"OR"
"627",1,1952,1,"OR"
"628",1,1952,3,"OR"
"629",1,1952,4,"OR"
"630",1,1952,2,"OR"
"631",1,1952,4,"OR"
"632",1,1952,5,"OR"
"633",1,1952,5,"OR"
"634",1,1952,3,"OR"
"635",1,1952,4,"OR"
"636",1,1952,3,"OR"
"637",1,1952,2,"OR"
"638",1,1952,3,"OR"
"639",1,1952,2,"OR"
"640",1,1952,4,"OR"
"641",1,1952,3,"OR"
"642",1,1952,4,"OR"
"643",1,1952,4,"OR"
"644",1,1952,3,"OR"
"645",1,1952,1,"OR"
"646",1,1952,2,"OR"
"647",1,1952,5,"OR"
"648",1,1952,1,"OR"
"649",1,1952,4,"OR"
"650",1,1952,5,"OR"
"651",1,1952,3,"OR"
"652",1,1952,2,"OR"
"653",1,1952,3,"OR"
"654",1,1952,2,"OR"
"655",1,1952,4,"OR"
"656",1,1952,4,"OR"
"657",1,1952,2,"OR"
"658",1,1952,3,"OR"
"659",1,1952,3,"OR"
"660",1,1952,4,"OR"
